trace_id,pos_id,pair_id,mint,symbol,live_or_paper,started_at,finished_at,duration_sec,n_events,first_event,last_event
tr_pending_1783563200,pending,tg_BbbAY4xmo6wcY1LA_1783563200,BbbAY4xmo6wcY1LAN833nQVxJEhevhosrfnX8Bfej6wg,BbbAY4xm,unknown,2026-07-09T02:13:20.515678+00:00,2026-07-09T02:13:20.537193+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563200,pending,tg_Hq6dfbewnAKiLdjt_1783563200,Hq6dfbewnAKiLdjtr8x2kzPj6bDEABmtPmQSV7uUHTF4,Hq6dfbew,unknown,2026-07-09T02:13:20.814951+00:00,2026-07-09T02:13:21.018796+00:00,0.2,6,trace_started,trace_finished
tr_pending_1783563242,pending,tg_5TnJDp9ZfCXXmD7q_1783563242,5TnJDp9ZfCXXmD7qshPc7EpoqzptGVANaMYQ1k17VBea,5TnJDp9Z,unknown,2026-07-09T02:14:02.812696+00:00,2026-07-09T02:14:02.857576+00:00,0.04,6,trace_started,trace_finished
tr_pending_1783563242,pending,tg_4Wv22nP8FgAG5HnK_1783563242,4Wv22nP8FgAG5HnK5cSAfX2LZXfT7Bm7aXJysWZSUDAy,4Wv22nP8,unknown,2026-07-09T02:14:02.956441+00:00,2026-07-09T02:14:02.991068+00:00,0.03,6,trace_started,trace_finished
tr_pending_1783563243,pending,tg_H4Nic9z7YURWa71r_1783563243,H4Nic9z7YURWa71rzYVJrqw4h8oUVJc5bfwDhbWysYZs,H4Nic9z7,unknown,2026-07-09T02:14:03.056570+00:00,2026-07-09T02:14:03.228170+00:00,0.17,6,trace_started,trace_finished
tr_pending_1783563287,pending,tg_5TnJDp9ZfCXXmD7q_1783563287,5TnJDp9ZfCXXmD7qshPc7EpoqzptGVANaMYQ1k17VBea,5TnJDp9Z,unknown,2026-07-09T02:14:47.997524+00:00,2026-07-09T02:14:48.051033+00:00,0.05,6,trace_started,trace_finished
tr_pending_1783563288,pending,tg_H4Nic9z7YURWa71r_1783563288,H4Nic9z7YURWa71rzYVJrqw4h8oUVJc5bfwDhbWysYZs,H4Nic9z7,unknown,2026-07-09T02:14:48.258142+00:00,2026-07-09T02:14:48.265992+00:00,0.01,6,trace_started,trace_finished
tr_pending_1783563333,pending,tg_5TnJDp9ZfCXXmD7q_1783563333,5TnJDp9ZfCXXmD7qshPc7EpoqzptGVANaMYQ1k17VBea,5TnJDp9Z,unknown,2026-07-09T02:15:33.181425+00:00,2026-07-09T02:15:33.228543+00:00,0.05,6,trace_started,trace_finished
tr_pending_1783563333,pending,tg_ETfMBEFAhWtwwe7z_1783563333,ETfMBEFAhWtwwe7zyqpWkqGX5HBdy98CW9LeUVxqyR3h,ETfMBEFA,unknown,2026-07-09T02:15:33.267861+00:00,2026-07-09T02:15:33.277146+00:00,0.01,6,trace_started,trace_finished
tr_pending_1783563333,pending,tg_8XPnN6Z7x9GeS9kQ_1783563333,8XPnN6Z7x9GeS9kQb4hEYr6RQsFF1Ng4YFZW9Sm24yrU,8XPnN6Z7,unknown,2026-07-09T02:15:33.297526+00:00,2026-07-09T02:15:33.322676+00:00,0.03,6,trace_started,trace_finished
